Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
FR51422,10-0,2008-12-18 13:47:30.881,Completed,France,121,CREPUSCULE SARL PWX,1328,BADYINE,France,121,BlueNext Détention,1351,BlueNext SA,23000,Details
FR51421,10-0,2008-12-18 13:47:09.963,Completed,France,121,CREPUSCULE Détention,1312,CREPUSCULE SARL,France,121,CREPUSCULE SARL PWX,1328,BADYINE,57000,Details
ES1014751,10-0,2008-12-18 13:46:21.569,Completed,Spain,120,"ADAM ECOTECH, S.A",726,"ADAM ECOTECH, S.A.",Spain,121,"C.M. CAPITAL MARKETS HOLDING, S.A.",868,"C.M. CAPITAL MARKETS HOLDING, S.A.",10000,Details
DK377486,10-0,2008-12-18 13:46:09.573,Completed,Denmark,121,STX Serrvices,3670,stx STX Services  B. V,Denmark,121,Unitrade,4571,Eddie Abittan,23000,Details
FR51420,10-0,2008-12-18 13:45:39.941,Completed,France,121,KBS HANDELS GmbH,1422,KBS HANDELS GmbH,France,121,FINANCE CARBONE,1438,FINANCE CARBONE,125000,Details
FR51419,10-0,2008-12-18 13:45:31.274,Completed,France,121,BlueNext Détention,1351,BlueNext SA,France,121,STX SERVICES B.V. Détention,1370,BROERSE,35000,Details
FR51418,10-0,2008-12-18 13:45:18.322,Completed,France,121,CREPUSCULE SARL PWX,1328,BADYINE,France,121,BlueNext Détention,1351,BlueNext SA,35000,Details
FR51417,10-0,2008-12-18 13:44:27.635,Completed,France,121,BLUESOURCES SA,1450,BLUESOURCES SA,France,121,KBS HANDELS GmbH,1422,KBS HANDELS GmbH,125000,Details
DK377485,3-0,2008-12-18 13:44:16.543,Completed,Denmark,121,Azimat S.A.R.L,2573,Sourfiane Gamil,France,121,CREPUSCULE Détention,1312,CREPUSCULE SARL,57000,Details
NL8426,3-0,2008-12-18 13:41:54.718,Completed,Netherlands,121,Green Pro Invest s.a.l.,620,Green Pro Invest s.a. l.,Denmark,121,Azimat S.A.R.L,2573,Sourfiane Gamil,30000,Details
NL8425,3-0,2008-12-18 13:39:45.024,Completed,Netherlands,121,Green Pro Invest s.a.l.,620,Green Pro Invest s.a. l.,Denmark,121,Azimat S.A.R.L,2573,Sourfiane Gamil,27000,Details
FR51416,10-0,2008-12-18 13:39:38.366,Completed,France,121,CREPUSCULE Détention,1312,CREPUSCULE SARL,France,121,CREPUSCULE SARL PWX,1328,BADYINE,385000,Details
FR51415,3-0,2008-12-18 13:38:43.445,Completed,France,121,ATLAS CAPITAL BLUENEXT SPOT,1417,IOANNIDOU,Netherlands,121,Green Pro Invest s.a.l.,620,Green Pro Invest s.a. l.,30000,Details
FR51414,3-0,2008-12-18 13:37:49.489,Completed,France,121,ATLAS CAPITAL BLUENEXT SPOT,1417,IOANNIDOU,Netherlands,121,Green Pro Invest s.a.l.,620,Green Pro Invest s.a. l.,27000,Details
BE5273,10-0,2008-12-18 13:37:25.361,Completed,Belgium,120,011 ArcelorMittal Gent,29,ArcelorMittal Belgium,Belgium,120,074 Electrabel - Centrale Rodenhuize,92,Electrabel,171575,Details
NL8424,3-0,2008-12-18 13:35:27.208,Completed,Netherlands,121,Dutch Carbon Trading,332,GOLDEN VECTOR S.A.R.L.,France,121,CREPUSCULE Détention,1312,CREPUSCULE SARL,295000,Details
DK377484,3-0,2008-12-18 13:30:39.526,Completed,Denmark,121,Azimat S.A.R.L,2573,Sourfiane Gamil,France,121,CREPUSCULE Détention,1312,CREPUSCULE SARL,90000,Details
IT11957,3-0,2008-12-18 13:28:48.616,Completed,Italy,120,Operator Account,1878,ENERGIE S.r.l.,France,121,EDELWEISS-BLUENEXT,1382,CALVI,39000,Details
NL8423,10-0,2008-12-18 13:28:42.423,Completed,Netherlands,121,Infinity Trading Services (Pvt) Ltd.,618,Infinity Trading Services (Pvt) Ltd.,Netherlands,,,,,169000,Details
AT8599,10-0,2008-12-18 13:27:44.01,Completed,Austria,121,EGL Nordic AS,205,EGL NORDIC AS,Austria,121,AXPO Trading AG,120,AXPO Solutions AG,25000,Details
FI7632,10-0,2008-12-18 13:16:29.04,Completed,Finland,120,CO2_Harjavalta:FI344,344,Suomen Teollisuuden Energiapalvelut STEP Oy,Finland,,,,,24765,Details
FR51402,10-0,2008-12-18 13:16:13.789,Completed,France,121,BlueNext Détention,1351,BlueNext SA,France,121,ATLAS CAPITAL BLUENEXT SPOT,1417,IOANNIDOU,20000,Details
