Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU520596,10-72,2019-04-30 12:07:35.994,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Italy,100,Gemmo NPT Niguarda,5013039,Gemmo Spa,1744,Details
EU520081,10-0,2019-04-30 12:07:28.889,Completed,Germany,100,Nobian GmbH,5015816,Nobian GmbH,Germany,100,RWEST GmbH IS Trading Account,5016831,RWE Supply & Trading GmbH,30514,Details
EU516221,10-71,2019-04-30 12:06:37.978,Completed,Italy,100,Gemmo NPT Niguarda,5013039,Gemmo Spa,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,1744,Details
EU519765,10-0,2019-04-30 12:06:37.5,Completed,Germany,100,HK GETEC ENERGIE GmbH,5023658,GETEC ENERGIE GmbH,Germany,100,GuD- und DE-Anlage,5015111,Drewsen Spezialpapiere GmbH & Co. KG,902,Details
EU520592,10-2,2019-04-30 12:05:58.723,Completed,Spain,100,"Todagres, S.A.",5023194,"Todagres, S.A.",European Commission,100,EU Allowance deletion,5016380,European Commission,14727,Details
EU519999,10-0,2019-04-30 12:05:34.815,Completed,Sweden,100,Johannes biobränsleanläggning,5002001,Gävle Kraftvärme AB,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,4000,Details
EU519835,10-0,2019-04-30 12:05:32.459,Completed,Czech Republic,100,Teplárna Kyjov - Paroplynová kogenerační j.,5006920,"Teplárna Kyjov, a.s.",Czech Republic,100,LAMA,5020068,LAMA energy a.s.,1750,Details
EU519853,10-0,2019-04-30 12:05:26.476,Completed,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,Poland,100,Instalacja Produkcji Papieru Stara Bystrzyca,5003367,"Apis Fijałkowski,  Bloch Spółka Jawna",4500,Details
EU519862,10-0,2019-04-30 12:04:45.926,Completed,Germany,100,149 - Anlagenkonto,5014147,Kalkwerke H. Oetelshofen GmbH & Co. KG,Germany,100,Commerzbank AG - Trading Account,5016810,COMMERZBANK Aktiengesellschaft,20000,Details
EU519844,10-0,2019-04-30 12:04:06.383,Completed,Germany,100,Werk Unsleben,5018533,Dachziegelwerke Nelskamp GmbH,Germany,100,Werk Groß Ammensleben,5018530,Dachziegelwerke Nelskamp GmbH,2600,Details
EU520015,10-0,2019-04-30 12:03:43.918,Completed,Sweden,100,Lessebo Bruk,5001487,Lessebo Paper AB,Denmark,100,Neas Energy A/S,5020307,Centrica Energy Trading A/S,13227,Details
EU520076,10-0,2019-04-30 12:03:21.073,Completed,Slovenia,100,Belektron TRD Si,5016820,BELEKTRON d.o.o.,France,100,ALPHA STAR AVIATION SERVICES,5026157,ALPHA STAR AVIATION SERVICES,518,Details
EU519957,10-0,2019-04-30 12:02:47.657,Completed,Spain,100,"Teuleria Almenar, S.A.",5009820,Teuleria Almenar S.A.,Spain,100,"Sistema Europeo de Negociación de Co2, S.L.",5020183,"SISTEMA EUROPEO DE NEGOCIACIÓN DE CO2, S.L.",9069,Details
EU519836,10-0,2019-04-30 12:02:04.677,Completed,United Kingdom,100,CFP Energy Limited,5017513,CFP Energy Limited,United Kingdom,100,JPS LTD,5007882,Advanced Proteins Unltd,34137,Details
EU520026,10-0,2019-04-30 12:00:49.726,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Italy,100,Operator Account,5012516,RAIPAPER s.r.l.,691,Details
EU520034,10-2,2019-04-30 11:59:26.517,Completed,Netherlands,100,PT Garuda Indonesia (Persero) Tbk.,5024104,PT Garuda Indonesia (Persero) Tbk.,European Commission,100,EU Allowance deletion,5016380,European Commission,27,Details
EU520578,10-0,2019-04-30 11:56:04.442,Completed,United Kingdom,100,BNP Paribas,5017654,BNP Paribas,Netherlands,100,Compagnie Financière Michelin,5026250,Compagnie Financière Michelin SA,9694,Details
EU520585,10-0,2019-04-30 11:55:54.103,Completed,Spain,100,"Sistema Europeo de Negociación de Co2, S.L.",5020183,"SISTEMA EUROPEO DE NEGOCIACIÓN DE CO2, S.L.",Spain,100,"Todagres, S.A.",5023194,"Todagres, S.A.",7150,Details
EU520538,10-2,2019-04-30 11:55:37.964,Completed,Norway,100,Agder Energi Varme,5012209,Agder Energi Varme AS,European Commission,100,EU Allowance deletion,5016380,European Commission,193,Details
EU520587,10-0,2019-04-30 11:54:53.655,Completed,Finland,100,Gasum Consulting Oy,5018688,Gasum Consulting Oy,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,23627,Details
