Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU166772,10-0,2014-03-14 11:39:37.823,Completed,Germany,100,Commerzbank AG - Trading Account,5016810,COMMERZBANK Aktiengesellschaft,Germany,100,TEN_HDL,5021917,Teutoburger Energie Netzwerk eG (TEN eG),50000,Details
EU166803,10-0,2014-03-14 11:39:14.463,Completed,United Kingdom,100,Belektron TRD,5016818,Belektron d.o.o.,Spain,100,FUTURA CARBONO S.L.,5009091,FUTURA CARBONO S.L.,7300,Details
EU166793,10-0,2014-03-14 11:27:16.059,Completed,United Kingdom,100,DASCO Commodities,5017361,GT ADVISORS LIMITED,Slovakia,100,CLEAN ENERGY TRADE s. r. o.,5018195,CLEAN ENERGY TRADE s.r.o.,200000,Details
EU166799,10-0,2014-03-14 11:27:12.624,Completed,United Kingdom,100,KDF Energy,5017273,SC KDF ENERGY SRL,Slovenia,100,Belektron TRD Si,5016820,BELEKTRON d.o.o.,10000,Details
EU166521,10-37,2014-03-14 11:17:34.734,Completed,European Commission,100,EU AUCTION ACCOUNT,5016932,EUROPEAN UNION,Germany,100,ECC AG Auction Delivery Account EU,5016991,European Commodity Clearing AG,1927500,Details
EU166782,10-0,2014-03-14 11:13:12.353,Completed,United Kingdom,100,Vertis Environmental Finance Ltd / GB Trading Account,5016869,Vertis Environmental Finance,France,100,FIVE RINGS CAPITAL LLC,5016842,MCCARTHY,100000,Details
EU166794,10-0,2014-03-14 11:12:57.562,Completed,Germany,100,Deutsche Bank AG,5017278,DEUTSCHE BANK AKTIENGESELLSCHAFT,United Kingdom,100,Trading Daily Emissions,5017041,ICE Clear Europe Ltd,949000,Details
EU166784,10-0,2014-03-14 11:11:50.519,Completed,United Kingdom,100,CFP Energy Limited,5017513,CFP Energy Limited,Lithuania,100,AB Panevezio stiklas,5006008,AB Panevezio stiklas,10500,Details
EU166786,10-0,2014-03-14 11:09:40.593,Completed,United Kingdom,100,CFP Energy Limited,5017513,CFP Energy Limited,Czech Republic,100,BCRL,5016861,"BCRL, s.r.o.",6122,Details
EU166788,10-0,2014-03-14 11:08:57.67,Completed,United Kingdom,100,CFP Energy Limited,5017513,CFP Energy Limited,Spain,100,"Global Factor Commodity Trading, S.A.U.",5016901,"Global Factor Commodity Trading, S.A.U.",6395,Details
EU166716,10-2,2014-03-14 11:07:33.403,Completed,Germany,100,Bundespolizei-Fliegergruppe,5000560,Bundespolizei-Fliegergruppe,European Commission,100,EU Allowance deletion,5016380,European Commission,468,Details
EU166763,10-0,2014-03-14 11:06:40.492,Completed,Italy,100,Eco-Way,5016895,EcoWay S.r.l.,United Kingdom,100,a2a Trading,5016923,A2A Trading S.r.l.,600000,Details
EU166660,10-0,2014-03-14 11:04:36.667,Completed,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,Romania,100,Operator Account,5010041,S Complexul Energetic Oltenia SA,200000,Details
EU166780,10-0,2014-03-14 11:04:24.464,Completed,United Kingdom,100,Mitsui Bussan Commodities Ltd,5017395,Mitsui Bussan Commodities Ltd,United Kingdom,100,DASCO Commodities,5017361,GT ADVISORS LIMITED,200000,Details
EU166765,10-0,2014-03-14 11:02:21.888,Completed,Italy,100,Eco-Way,5016895,EcoWay S.r.l.,Italy,100,ZENERGIA TRD,5017064,ZENERGIA S.r.l.,50000,Details
EU166776,10-0,2014-03-14 10:56:58.798,Completed,United Kingdom,100,Belektron TRD,5016818,Belektron d.o.o.,United Kingdom,100,Jefferies Bache Limited - Client Holding Account,5017410,Jefferies Bache Limited - Client Holding Account,5000,Details
EU166773,10-0,2014-03-14 10:54:29.212,Completed,United Kingdom,100,Vertis Environmental Finance Ltd / GB Trading Account,5016869,Vertis Environmental Finance,United Kingdom,100,Mitsui Bussan Commodities Ltd,5017395,Mitsui Bussan Commodities Ltd,200000,Details
EU166768,10-0,2014-03-14 10:47:54.109,Completed,United Kingdom,100,Mydas A.G.,5020707,Mydas A.G.,Slovakia,100,CLEAN ENERGY TRADE s. r. o.,5018195,CLEAN ENERGY TRADE s.r.o.,60000,Details
EU166764,10-0,2014-03-14 10:39:54.077,Completed,United Kingdom,100,BP Gas Marketing Limited (2),5017286,BP Gas Marketing Limited,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,22657,Details
EU166761,10-0,2014-03-14 10:38:19.811,Completed,United Kingdom,100,Clean Energy Trading Limited,5016821,Clean Energy Trading Limited,United Kingdom,100,Mydas A.G.,5020707,Mydas A.G.,60000,Details
EU166594,10-0,2014-03-13 12:52:39.164,Completed,United Kingdom,100,Mitsui Bussan Commodities Ltd,5017395,Mitsui Bussan Commodities Ltd,United Kingdom,100,Vertis Environmental Finance Ltd / GB Trading Account,5016869,Vertis Environmental Finance,150000,Details
EU166515,10-0,2014-03-13 12:49:15.51,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,United Kingdom,100,Citigroup Global Markets Limited,5021318,Citigroup Global Markets Limited,250000,Details
EU166519,10-0,2014-03-13 12:43:32.624,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,United Kingdom,100,Citigroup Global Markets Limited,5021318,Citigroup Global Markets Limited,600000,Details
EU166520,10-0,2014-03-13 12:41:58.728,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,United Kingdom,100,JPMVEC 3,5016855,J.P. Morgan Ventures Energy Corporation,125000,Details
EU166523,10-0,2014-03-13 12:40:47.247,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Germany,100,Statkraft Markets GmbH,5017011,Statkraft Markets GmbH,925000,Details
EU166529,10-0,2014-03-13 12:39:19.88,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,United Kingdom,100,Mitsui Bussan Commodities Ltd,5017395,Mitsui Bussan Commodities Ltd,200000,Details
EU166584,10-0,2014-03-13 12:39:11.214,Completed,Spain,100,C.M. CAPITAL MARKETS HOLDING S.A.,5017033,"C.M. CAPITAL MARKETS HOLDING, S.A.",Spain,100,"Linasa Cogeneración y Asociados, S.L.",5009945,"Linasa Cogeneración y Asociados, S.L.",63,Details
EU166085,10-0,2014-03-13 12:36:58.878,Completed,Spain,100,C.M. CAPITAL MARKETS HOLDING S.A.,5017033,"C.M. CAPITAL MARKETS HOLDING, S.A.",Spain,100,"Peronda Group, S.A. (Centro 2)",5018619,"Peronda Group, S.A.",536,Details
EU166084,10-0,2014-03-13 12:35:56.786,Completed,Spain,100,C.M. CAPITAL MARKETS HOLDING S.A.,5017033,"C.M. CAPITAL MARKETS HOLDING, S.A.",Spain,100,"Peronda Group, S.A. (Centro 1)",5018618,"Peronda Group, S.A.",646,Details
EU166093,10-0,2014-03-13 12:35:48.244,Completed,Netherlands,100,Mercuria Energy Trading SA,5011505,Mercuria Energy Trading SA,France,100,MERCURIA ENERGY TRADING SA,5016876,MERCURIA ENERGY TRADING SA,69804,Details
EU166581,10-0,2014-03-13 12:35:15.394,Completed,Spain,100,Wind to Market SA,5017211,"WIND TO MARKET, S.A.",Spain,100,"Bleachont, S.L.",5009777,"Bleachont, S.L.",308,Details
EU166073,10-0,2014-03-13 12:34:59.199,Completed,Spain,100,C.M. CAPITAL MARKETS HOLDING S.A.,5017033,"C.M. CAPITAL MARKETS HOLDING, S.A.",Spain,100,"Planomyr, S.L.",5019039,"Planomyr, S.L.",108,Details
EU166070,10-0,2014-03-13 12:33:58.915,Completed,Spain,100,C.M. CAPITAL MARKETS HOLDING S.A.,5017033,"C.M. CAPITAL MARKETS HOLDING, S.A.",Spain,100,"Planomyr, S.L.",5019039,"Planomyr, S.L.",315,Details
EU166576,10-0,2014-03-13 12:33:22.226,Completed,Spain,100,Wind to Market SA,5017211,"WIND TO MARKET, S.A.",Spain,100,"Bleachont, S.L.",5009777,"Bleachont, S.L.",5000,Details
EU166068,10-0,2014-03-13 12:33:06.784,Completed,Spain,100,C.M. CAPITAL MARKETS HOLDING S.A.,5017033,"C.M. CAPITAL MARKETS HOLDING, S.A.",Spain,100,"Planomyr, S.L.",5019039,"Planomyr, S.L.",429,Details
EU166580,10-0,2014-03-13 12:28:57.904,Completed,Germany,100,advantag-trading,5016902,Advantag Aktiengesellschaft,Slovakia,100,CLEAN ENERGY TRADE s. r. o.,5018195,CLEAN ENERGY TRADE s.r.o.,400000,Details
EU166072,10-0,2014-03-13 12:21:18.772,Completed,France,100,VITOL SA,5017265,VITOL SA,United Kingdom,100,Gazprom Marketing & Trading (TRADING ACCOUNT),5017318,Gazprom Marketing & Trading Limited,250000,Details
EU166057,10-0,2014-03-13 12:19:25.046,Completed,Germany,100,ECC AG Auction Delivery Account EU,5016991,European Commodity Clearing AG,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,4018500,Details
EU166570,10-0,2014-03-13 12:18:42.974,Completed,Italy,100,ZENERGIA TRD,5017064,ZENERGIA S.r.l.,United Kingdom,100,a2a Trading,5016923,A2A Trading S.r.l.,70000,Details
EU166575,10-0,2014-03-13 12:17:42.948,Completed,France,100,FIVE RINGS CAPITAL LLC,5016842,MCCARTHY,Germany,100,advantag-trading,5016902,Advantag Aktiengesellschaft,200000,Details
EU165932,3-0,2014-03-13 12:02:48.748,Completed,France,100,ARTOIS ENERGIES,5005257,ARTOIS ENERGIES,France,100,Cpt de Détention - Stock non alloué,7,France,1,Details
EU166002,3-0,2014-03-13 12:02:47.878,Completed,France,100,Compte Quotas Site Rhodia La Rochelle,5005188,RHODIA OPERATIONS,France,100,Cpt de Détention - Stock non alloué,7,France,1,Details
EU165873,3-0,2014-03-13 12:02:38.78,Completed,France,100,SCUC CHAUFFERIE ECHAT OUEST,5004834,Société de chauffage urbain de Créteil,France,100,Cpt de Détention - Stock non alloué,7,France,1,Details
EU165874,3-0,2014-03-13 12:02:33.981,Completed,France,100,001DCD46028D CHAUF ZUP STE GENEVIEVE DALKIA,5004839,SVD 17,France,100,Cpt de Détention - Stock non alloué,7,France,1,Details
