Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU520589,10-0,2019-04-30 12:25:02.304,Completed,United Kingdom,100,CFP Energy Limited,5017513,CFP Energy Limited,Bulgaria,100,Bulgaria Air JSC,5000160,Bulgaria Air,38282,Details
EU520509,10-0,2019-04-30 12:24:42.283,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Netherlands,100,"Gunvor International B.V., Amsterdam, Geneva Branch",5024828,Gunvor International B.V.,22500,Details
EU520604,10-0,2019-04-30 12:24:27.894,Completed,Italy,100,Intermonte Partners SIM S.p.A.,5021903,Intermonte Partners SIM S.p.A.,France,100,BNP PARIBAS,5027964,BNP PARIBAS,16000,Details
EU520508,10-0,2019-04-30 12:23:05.151,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Germany,100,Statkraft Markets GmbH,5017011,Statkraft Markets GmbH,1000000,Details
EU520608,10-72,2019-04-30 12:22:35.562,Completed,European Commission,100,EU Credit Exchange Account - Aviation,5022592,EUROPEAN COMMISSION,Iceland,100,Bluebird Cargo,5017996,Bluebird,328,Details
EU520591,10-71,2019-04-30 12:21:29.675,Completed,Iceland,100,Bluebird Cargo,5017996,Bluebird,European Commission,100,EU International Credit Account - Aviation,5022591,EUROPEAN COMMISSION,328,Details
EU520584,10-2,2019-04-30 12:20:55.773,Completed,Hungary,100,Operator Account:HU10,5011650,ALFA-NOVA Kft.,European Commission,100,EU Allowance deletion,5016380,European Commission,12140,Details
EU520500,10-0,2019-04-30 12:20:26.305,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Germany,100,Vattenfall Energy Trading GmbH,5017244,Vattenfall Energy Trading GmbH,1065000,Details
EU520588,10-2,2019-04-30 12:17:32.216,Completed,Hungary,100,Operator Account:HU11,5011651,ALFA-NOVA Kft.,European Commission,100,EU Allowance deletion,5016380,European Commission,3360,Details
EU520600,10-0,2019-04-30 12:16:10.171,Completed,United Kingdom,100,Redshaw Advisors,5023004,Louis Redshaw,Greece,100,ELLINAIR S.A.,5022838,ELLINAIR S.A.,1,Details
EU520586,10-2,2019-04-30 12:12:14.674,Completed,United Kingdom,100,Liberty Steel Newport Limited,5023062,Liberty Steel Newport Limited,European Commission,100,EU Allowance deletion,5016380,European Commission,15161,Details
EU520597,10-0,2019-04-30 12:11:33.217,Completed,Spain,100,"Sistema Europeo de Negociación de Co2, S.L.",5020183,"SISTEMA EUROPEO DE NEGOCIACIÓN DE CO2, S.L.",Spain,100,ElPozo Alimentación,5009468,"ElPozo Alimentación, S.A.",15860,Details
EU519880,10-0,2019-04-30 12:09:58.219,Completed,Spain,100,"Iberoalcolense, S.L.",5023237,"Iberoalcorense, S.L.",Spain,100,"New Tiles, S.L.",5023156,"New Tiles, S.L.",11095,Details
GB72788,10-0,2019-04-30 12:09:05.164,Completed,United Kingdom,121,Natural Capital Partners,1276,Natural Capital Partners Europe Limited,United Kingdom,121,BP AEI Ltd,1802,BP Technology Ventures Limited,70000,Details
EU520599,10-72,2019-04-30 12:08:51.32,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Italy,100,Gemmo NPT Niguarda,5013039,Gemmo Spa,1668,Details
EU519885,10-0,2019-04-30 12:08:45.797,Completed,Poland,100,Produkcja materiałów ceramicznych Plecewice,5003530,SEGROMET Sp. z o.o.,Poland,100,Piece tunelowe do produkcji ceramicznych materiałów budowlanych,5028067,SEGROMET Sp. z o.o.,16,Details
EU520518,10-37,2019-04-30 12:08:42.527,Completed,European Commission,100,EU AUCTION ACCOUNT,5016932,EUROPEAN UNION,Germany,100,ECC AG Auction Delivery Account DE,5016816,European Commodity Clearing AG,3209000,Details
EU519868,10-0,2019-04-30 12:08:15.519,Completed,Finland,100,PMT Aggregate 0:FI553,5010602,Fortum Power and Heat Oy,Finland,100,Trading 1,5023516,Fortum Power and Heat Oy,51654,Details
EU520590,10-0,2019-04-30 12:08:08.228,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Poland,100,CIEPŁOWNIA,5003499,Miejska Energetyka Cieplna Sp. z o.o.,9900,Details
EU455440,10-71,2019-04-30 12:08:02.352,Completed,Italy,100,Gemmo NPT Niguarda,5013039,Gemmo Spa,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,1668,Details
EU520391,10-72,2019-04-29 16:50:05.937,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Poland,100,TOMASZÓW 2,5020058,Ceramika Paradyż Sp. z o.o.,1109,Details
EU520384,10-71,2019-04-29 16:49:09.299,Completed,Poland,100,TOMASZÓW 2,5020058,Ceramika Paradyż Sp. z o.o.,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,1109,Details
EU520388,10-72,2019-04-29 16:48:35.77,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Poland,100,PARADYŻ,5020056,Ceramika Paradyż Sp. z o.o.,994,Details
EU520381,10-71,2019-04-29 16:47:27.115,Completed,Poland,100,PARADYŻ,5020056,Ceramika Paradyż Sp. z o.o.,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,994,Details
EU520363,10-2,2019-04-29 16:43:34.893,Completed,Spain,100,"DIOXIPE SOLAR, S.L.-Astexol 2",5016770,"DIOXIPE SOLAR, S.L.",European Commission,100,EU Allowance deletion,5016380,European Commission,1608,Details
EU519764,10-0,2019-04-29 16:37:40.236,Completed,Italy,100,IMI ETS,5021939,INEOS MANUFACTURING ITALIA S.p.A.,Italy,100,Operator Account,5012479,SOLVAY CHIMICA ITALIA SPA,67848,Details
EU520373,10-2,2019-04-29 16:37:33.473,Completed,Spain,100,Central Solar Termosolar ASTE 1A,5017937,"Aries Solar Termoeléctrica, S,L",European Commission,100,EU Allowance deletion,5016380,European Commission,760,Details
EU520374,10-2,2019-04-29 16:35:05.437,Completed,Spain,100,Central Solar Termosolar ASTE 1B,5017938,"Aries Solar Termoeléctrica, S,L",European Commission,100,EU Allowance deletion,5016380,European Commission,856,Details
