Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU466723,10-0,2018-08-24 10:48:32.01,Completed,United Kingdom,100,Vertis Environmental Finance Ltd / GB Trading Account,5016869,Vertis Environmental Finance,Malta,100,Air Malta plc,5000282,Air Malta plc,10000,Details
EU466731,10-72,2018-08-24 10:48:21.833,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Finland,100,Pigments Pori,5022877,Venator P&A Finland Oy,4639,Details
EU466298,10-71,2018-08-24 10:47:31.804,Completed,Finland,100,Pigments Pori,5022877,Venator P&A Finland Oy,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,4639,Details
EU466726,10-0,2018-08-24 10:46:50.145,Completed,United Kingdom,100,Vertis Environmental Finance Ltd / GB Trading Account,5016869,Vertis Environmental Finance,Netherlands,100,USG handelsrekening,5011363,Utility Support Group (USG) B.V.,10000,Details
EU466728,10-0,2018-08-24 10:46:22.422,Completed,Finland,100,Metsäliitto Osuuskunta,5021805,Metsäliitto Osuuskunta,Finland,100,Metsä Group Treasury,5023498,Metsä Group Treasury Oy,20000,Details
EU466727,10-0,2018-08-24 10:43:56.488,Completed,United Kingdom,100,Vertis Environmental Finance Ltd / GB Trading Account,5016869,Vertis Environmental Finance,Poland,100,Creaton Polska Sp. z o.o. Zakład Produkcyjny w Widziszewie,5022801,CREATON Polska Sp. z o.o.,1584,Details
EU466721,10-0,2018-08-24 10:36:08.875,Completed,United Kingdom,100,Gazprom Marketing & Trading (TRADING ACCOUNT),5017318,Gazprom Marketing & Trading Limited,United Kingdom,100,Gazprom Marketing & Trading Retail (Trading Account),5017319,Gazprom Marketing & Trading Retail Ltd,7500,Details
EU466661,10-0,2018-08-24 10:09:25.02,Completed,United Kingdom,100,BNP PARIBAS COMMODITY FUTURES LTD,5017675,BNP Paribas Commodity Futures Limited,United Kingdom,100,BNP Paribas,5017654,BNP Paribas,110000,Details
EU466707,10-0,2018-08-24 10:09:18.968,Completed,United Kingdom,100,Citigroup Global Markets Limited,5021318,Citigroup Global Markets Limited,United Kingdom,100,Trading Daily Emissions,5017041,ICE Clear Europe Ltd,892000,Details
EU466710,10-0,2018-08-24 10:08:53.161,Completed,United Kingdom,100,Vertis Environmental Finance Ltd / GB Trading Account,5016869,Vertis Environmental Finance,Belgium,100,037 Nelissen Steenfabrieken,5004433,Nelissen Steenfabrieken,7000,Details
EU466711,10-0,2018-08-24 10:08:50.283,Completed,Germany,100,Statkraft Markets GmbH,5017011,Statkraft Markets GmbH,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,1000000,Details
EU466663,10-0,2018-08-24 10:08:21.833,Completed,United Kingdom,100,BNP PARIBAS COMMODITY FUTURES LTD,5017675,BNP Paribas Commodity Futures Limited,Spain,100,"Naturgy Energy Group, S.A.",5017187,"Naturgy Energy Group, S.A.",10000,Details
EU466705,10-0,2018-08-24 10:07:52.745,Completed,United Kingdom,100,Vertis Environmental Finance Ltd / GB Trading Account,5016869,Vertis Environmental Finance,Spain,100,"Evelop Airlines, S.L.",5023258,"Evelop Airlines, S.L.",739,Details
EU466660,10-0,2018-08-24 10:07:30.128,Completed,United Kingdom,100,BNP PARIBAS COMMODITY FUTURES LTD,5017675,BNP Paribas Commodity Futures Limited,United Kingdom,100,A2A S.p.A.,5026060,A2A S.P.A.,10000,Details
EU466709,10-0,2018-08-24 10:07:07.112,Completed,Finland,100,1827,5017609,OP Yrityspankki Oyj,Latvia,100,Operator Account:LV12,5012079,AS „Latvenergo” TEC-2,170000,Details
EU466703,10-0,2018-08-24 10:07:03.988,Completed,United Kingdom,100,Hartree Partners Power & Gas,5024579,Hartree Partners Power & Gas Company (UK) Limited,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,129000,Details
EU466714,10-0,2018-08-24 10:06:01.004,Completed,Germany,100,UniCredit Bank AG Trading Account,5016811,UniCredit Bank AG,Germany,100,Handelskonto  Allgäuer Überlandwerk GmbH,5013807,Allgäuer Überlandwerk GmbH,15000,Details
