Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU520648,10-2,2019-04-30 19:02:55.43,Completed,France,100,CHAUFFERIE CENTRALE RENNES BEAULIEU,5004695,Université de Rennes 1,European Commission,100,EU Allowance deletion,5016380,European Commission,2604,Details
EU520730,10-2,2019-04-30 18:22:24.609,Completed,Poland,100,Ciepłownia ENCO,5003341,Przedsiębiorstwo Produkcyjno Usługowo Handlowe ENCo Sp. z o.o.,European Commission,100,EU Allowance deletion,5016380,European Commission,4548,Details
EU520679,10-2,2019-04-30 18:17:03.961,Completed,Greece,100,ENERGEAN OIL & GAS,5002458,ΕΝΕΡΓΕΙΑΚΗ ΑΙΓΑΙΟΥ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΡΕΥΝΑΣ ΚΑΙ ΠΑΡΑΓΩΓΗΣ ΥΔΡΟΓΟΝΑΝΘΡΑΚΩΝ,European Commission,100,EU Allowance deletion,5016380,European Commission,45404,Details
EU520354,10-0,2019-04-30 17:59:41.157,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Poland,100,Ciepłownia ENCO,5003341,Przedsiębiorstwo Produkcyjno Usługowo Handlowe ENCo Sp. z o.o.,4600,Details
EU520725,10-2,2019-04-30 17:54:51.281,Completed,Spain,100,"Cerámica Tres Estilos, S.L.",5018415,"Cerámica Tres Estilos, S.L.",European Commission,100,EU Allowance deletion,5016380,European Commission,5579,Details
EU520351,10-0,2019-04-30 17:54:30.24,Completed,Slovakia,100,"PETUM, s.r.o.",5003555,PETUM s.r.o.,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,4000,Details
DE123705,4-0,2019-04-30 17:48:05.517,Completed,Germany,121,1975 - atmosfair gGmbH Personenkonto,1975,atmosfair gGmbH,Germany,230,Nationalkonto - Löschung 2013-2020,5018222,Deutschland,239,Details
EU520717,10-2,2019-04-30 17:41:54.296,Completed,Poland,100,Kotłownia zakładowa - Oddział Morliny,5028066,Animex Foods Sp. z o.o.,European Commission,100,EU Allowance deletion,5016380,European Commission,125,Details
EU520533,10-2,2019-04-30 17:39:51.73,Completed,Spain,100,"Lusan Asfaltos y Construcciones, S.L.U.",5024482,"Lusan Asfaltos y Construcciones, S.L.U.",European Commission,100,EU Allowance deletion,5016380,European Commission,907,Details
EU520322,10-0,2019-04-30 17:12:44.056,Completed,Estonia,100,Väo reservkatlamaja CHP,5026102,OÜ Utilitas Tallinna Elektrijaam,Estonia,100,Baltic Energy Partners OÜ,5016905,Baltic Energy Partners OÜ,4500,Details
