Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU493394,10-2,2019-03-04 14:51:25.573,Completed,France,100,ORANGE - Data center Aubervilliers,5027061,ORANGE SA,European Commission,100,EU Allowance deletion,5016380,European Commission,59,Details
EU492977,10-0,2019-03-04 14:51:15.968,Completed,United Kingdom,100,CFP Energy Limited,5017513,CFP Energy Limited,United Kingdom,100,CIB Properties,5026722,CIB Properties Limited,10943,Details
EU492975,10-0,2019-03-04 14:49:47.739,Completed,United Kingdom,100,CFP Energy Limited,5017513,CFP Energy Limited,United Kingdom,100,CIB Properties Ltd,5026721,CIB Properties Limited,252,Details
EU492985,10-0,2019-03-04 14:49:27.389,Completed,United Kingdom,100,Swanwick,5007229,NATS (EnRoute) Public Limited Company,Norway,100,Kinect Energy AS,5020081,Kinect Energy AS,13405,Details
EU493412,10-0,2019-03-04 14:46:04.842,Completed,United Kingdom,100,Toronto Branch - Exchange EUA - Trading,5017086,RBC Europe Limited,United Kingdom,100,Trading Daily Emissions,5017041,ICE Clear Europe Ltd,40000,Details
EU493416,10-0,2019-03-04 14:45:54.964,Completed,Finland,100,Trading 1,5023516,Fortum Power and Heat Oy,Estonia,100,Pärnu SEJ: EE75,5016365,Gren Eesti AS,3500,Details
EU492979,10-0,2019-03-04 14:43:38.852,Completed,United Kingdom,100,British Salt Trading,5007976,British Salt Limited,United Kingdom,100,Winnington,5008068,Winnington CHP Limited,96610,Details
EU492978,10-0,2019-03-04 14:42:26.376,Completed,United Kingdom,100,British Salt Trading,5007976,British Salt Limited,United Kingdom,100,Winnington,5019234,Tata Chemicals Europe Limited,1866,Details
EU492976,10-0,2019-03-04 14:40:48.748,Completed,United Kingdom,100,British Salt Trading,5007976,British Salt Limited,United Kingdom,100,Lostock,5019232,Tata Chemicals Europe Limited,24188,Details
EU493410,10-0,2019-03-04 14:29:04.091,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,United Kingdom,100,Avocet Risk Management Ltd,5019339,Avocet Risk Management Limited,301,Details
EU493387,10-0,2019-03-04 14:27:47.017,Completed,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,United Kingdom,100,Trading Daily Emissions,5017041,ICE Clear Europe Ltd,1397000,Details
EU493401,10-0,2019-03-04 14:23:46.793,Completed,United Kingdom,100,Mitsui Bussan Commodities Ltd,5017395,Mitsui Bussan Commodities Ltd,United Kingdom,100,ED&F Man Capital Markets Ltd,5023256,E D & F MAN CAPITAL MARKETS LIMITED,9000,Details
EU493409,10-2,2019-03-04 14:22:45.725,Completed,United Kingdom,100,Petrojarl Banff,5023405,CNR International (UK) Limited,European Commission,100,EU Allowance deletion,5016380,European Commission,111254,Details
EU493399,10-2,2019-03-04 14:17:18.705,Completed,Germany,100,VDA_Operator,5017701,Volga-Dnepr Airlines LLC,European Commission,100,EU Allowance deletion,5016380,European Commission,18092,Details
EU492954,10-0,2019-03-04 14:14:53.163,Completed,United Kingdom,100,CFP Energy Limited,5017513,CFP Energy Limited,United Kingdom,100,Air Kilroe Ltd Trading as Eastern Airways,5017903,Air Kilroe Limited (Trading as Eastern Airways),47375,Details
EU493332,10-0,2019-03-04 14:11:33.7,Completed,Finland,100,UPM CO2 exchange trading,5017691,UPM-Kymmene Oyj,Germany,100,Personenkonto Kraftwerk Plattling GmbH,5013813,Kraftwerk Plattling GmbH,38454,Details
EU493405,10-2,2019-03-04 14:11:22.386,Completed,United Kingdom,100,Chestnut Field,5008536,Spirit Energy North Sea Oil Limited,European Commission,100,EU Allowance deletion,5016380,European Commission,142922,Details
EU492948,10-0,2019-03-04 14:10:27.245,Completed,Romania,100,Ciech Soda România SA,5021445,Witold Urbanowski,Romania,100,TDR Energy SRL,5024160,TDR Energy SRL,40000,Details
EU493388,10-0,2019-03-04 14:09:51.026,Completed,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,United Kingdom,100,Trading Daily Emissions,5017041,ICE Clear Europe Ltd,130000,Details
EU493341,10-2,2019-03-04 13:57:21.498,Completed,United Kingdom,100,Ulverston Site,5007691,Glaxo Operations UK Limited,European Commission,100,EU Allowance deletion,5016380,European Commission,18657,Details
