Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU479134,10-0,2018-12-27 15:10:05.509,Completed,Germany,100,1882 - EnBW Trading GmbH Personenkonto,5015443,EnBW Energie Baden-Württemberg AG,Germany,100,Voith Gesamtanlage,5014422,J. M. Voith SE & Co. KG,6000,Details
EU479544,10-86,2018-12-27 15:02:00.041,Completed,Germany,100,794 - Anlagenkonto HWK Flingern,5015374,Stadtwerke Düsseldorf AG,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,2114,Details
NL31895,4-0,2018-12-27 15:01:00.172,Completed,Netherlands,121,FairClimateFund,901,FairClimateFund B.V.,Netherlands,230,Annuleringsrekening CP2,5018612,Nederlandse Emissieautoriteit,2403,Details
EU479516,10-0,2018-12-27 14:49:35.106,Completed,France,100,EDF TRADING LIMITED,5027028,EDF TRADING LTD,Germany,100,BKW Energie AG,5017218,BKW Energie AG,164250,Details
EU479132,10-0,2018-12-27 14:49:00.529,Completed,Slovakia,100,Elektrárne Nováky,5003238,"Slovenské elektrárne, a.s.",Germany,100,Axpo Solutions AG,5017149,AXPO Solutions AG,200000,Details
EU478977,10-0,2018-12-27 14:45:50.528,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Germany,100,1547 - Anlagenkonto,5014955,VOLKSWAGEN AKTIENGESELLSCHAFT,213417,Details
EU478974,10-0,2018-12-27 14:43:01.618,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Germany,100,1628 - Anlagenkonto,5015069,VOLKSWAGEN AKTIENGESELLSCHAFT,21908,Details
EU479543,10-0,2018-12-27 14:42:51.362,Completed,United Kingdom,100,Trading Daily Emissions,5017041,ICE Clear Europe Ltd,United Kingdom,100,BNP PARIBAS COMMODITY FUTURES LTD,5017675,BNP Paribas Commodity Futures Limited,2341000,Details
EU479314,10-0,2018-12-27 14:42:37.444,Completed,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,Spain,100,"ENCE, Energía y Celulosa, S.A.",5009063,"ENCE, Energía y Celulosa, S.A.",150000,Details
EU479542,10-0,2018-12-27 14:41:54.038,Completed,United Kingdom,100,Trading Daily Emissions,5017041,ICE Clear Europe Ltd,United Kingdom,100,ED&F Man Capital Markets Ltd,5023256,E D & F MAN CAPITAL MARKETS LIMITED,102000,Details
EU479309,10-0,2018-12-27 14:39:54.131,Completed,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,Netherlands,100,Leids Universitair Medisch Centrum,5027413,Leids Universitair Medisch Centrum (LUMC),10000,Details
EU479121,10-0,2018-12-27 14:29:20.661,Completed,Poland,100,INSTALACJA PRODUKCJI PAPIERU,5002945,Żywieckie Zakłady Papiernicze Solali S.A. w upadłości,Netherlands,100,ACT Trading,5017134,ACT Financial Solutions B.V.,653,Details
EU478980,10-0,2018-12-27 14:28:37.797,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Germany,100,1545 - Anlagenkonto,5014953,VOLKSWAGEN AKTIENGESELLSCHAFT,708347,Details
EU478989,10-0,2018-12-27 14:28:33.566,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Austria,100,VERBUND Energy4Business GmbH,5023261,VERBUND Energy4Business GmbH,11000,Details
EU479539,10-0,2018-12-27 14:27:43.796,Completed,Germany,100,Vattenfall Energy Trading GmbH,5017244,Vattenfall Energy Trading GmbH,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,1500000,Details
EU479114,10-0,2018-12-27 14:25:28.956,Completed,Germany,100,Handelskonto der Rheinbraun Brennstoff GmbH,5015933,Rheinbraun Brennstoff GmbH,Germany,100,RWE Power AG - Händlerkonto,5017639,RWE Power Aktiengesellschaft,17717,Details
EU478961,10-0,2018-12-27 14:25:12.984,Completed,Germany,100,ECC AG Handel,5016813,European Commodity Clearing AG,Germany,100,1533 - Anlagenkonto,5014936,VOLKSWAGEN AKTIENGESELLSCHAFT,1662530,Details
EU479538,10-0,2018-12-27 14:23:33.188,Completed,United Kingdom,100,ABN AMRO Clearing Bank N.V,5017351,"ABN AMRO Clearing Bank N.V, London Branch",United Kingdom,100,Trading Daily Emissions,5017041,ICE Clear Europe Ltd,20000,Details
EU479534,10-0,2018-12-27 14:19:20.383,Completed,United Kingdom,100,Trading Daily Emissions,5017041,ICE Clear Europe Ltd,United Kingdom,100,BNP PARIBAS COMMODITY FUTURES LTD,5017675,BNP Paribas Commodity Futures Limited,25000,Details
EU479445,10-0,2018-12-27 14:18:04.569,Completed,United Kingdom,100,Macquarie Bank Limited (EUA),5017114,Macquarie Bank Limited,United Kingdom,100,Northern Producer,5008246,EnQuest Heather Limited,444,Details
