Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU494129,10-36,2019-03-05 01:34:56.639,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5013502,RIFINIZIONE S. STEFANO SPA,8521,Details
EU493722,10-36,2019-03-05 01:34:56.545,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,conto San Vito al Tagliamento EUA,5012665,VETRI SPECIALI S.p.A,25976,Details
EU493699,10-36,2019-03-05 01:34:56.28,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5013620,SUANFARMA ITALIA S.P.A.,12799,Details
EU493907,10-36,2019-03-05 01:34:56.28,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Stabilimento Fanna,5012918,Buzzi Unicem S.p.A.,449228,Details
EU493738,10-36,2019-03-05 01:34:56.19,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Unilever Caivano,5012647,UNILEVER ITALIA MANUFACTURING SRL,8532,Details
EU493715,10-36,2019-03-05 01:34:56.062,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Conto registro Desco SpA,5013264,Desco S.p.A.,2040,Details
EU493745,10-36,2019-03-05 01:34:56.038,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Solvay Massa,5019908,SOLVAY CHIMICA ITALIA SPA,37130,Details
EU493737,10-36,2019-03-05 01:34:55.999,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5012486,GNL ITALIA SPA,9947,Details
EU493748,10-36,2019-03-05 01:34:55.898,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5012672,Vinavil S.p.A.,7777,Details
EU493747,10-36,2019-03-05 01:34:55.77,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5013413,SIPCAM OXON SPA,19338,Details
EU493927,10-36,2019-03-05 01:34:55.751,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Policlinico Umberto I,5012372,ENGIE Servizi S.p.A.,2255,Details
EU493746,10-36,2019-03-05 01:34:55.747,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,TF Meran/o,5012998,Alperia Ecoplus S.r.l.,1416,Details
EU493711,10-36,2019-03-05 01:34:55.706,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5013308,Gruppo Mauro Saviola S.r.l.,14251,Details
EU493732,10-36,2019-03-05 01:34:55.673,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5012909,SMURFIT KAPPA ITALIA S.P.A.,50279,Details
EU493743,10-36,2019-03-05 01:34:55.439,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5012830,CARTITALIA SPA,23451,Details
EU493703,10-36,2019-03-05 01:34:55.436,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,San Domenico,5013607,SAN DOMENICO VETRARIA S.P.A.,19700,Details
EU493921,10-36,2019-03-05 01:34:55.332,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,CARTIERA DELLA BASILICA S.R.L.,5024574,CARTIERA DELLA BASILICA S.R.L.,4742,Details
EU493705,10-36,2019-03-05 01:34:55.251,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5013608,Fenice spa,10512,Details
EU493707,10-36,2019-03-05 01:34:55.213,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5012483,AGSM AIM Calore s.r.l.,3109,Details
EU493903,10-36,2019-03-05 01:34:54.907,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Italy,100,Operator Account,5012489,Egidio Galbani srl,9511,Details
