Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU506224,10-0,2019-04-05 12:54:36.784,Completed,Spain,100,COMPAÑÍA ESPAÑOLA DE PETRÓLEOS(CEPSA),5008888,"Compañía Española de Petróleos, S.A.",Spain,100,GEPESA - Cogeneración Refinería Gibraltar,5009184,"Generación Eléctrica Peninsular, S.A.",327,Details
EU505367,10-0,2019-04-05 12:53:49.835,Completed,Spain,100,CUENTA NEGOCIACION MERCADOS CO2,5017384,"Naturgy Ciclos Combinados, S.L.U.",Spain,100,"Naturgy Ciclos Combinados, S.L.U. - Narcea 1,2 y 3",5009579,"Naturgy Ciclos Combinados, S.L.U.",371070,Details
EU507221,10-2,2019-04-05 12:53:42.868,Completed,France,100,EDF DATACENTER NOE,5026820,EDF SA,European Commission,100,EU Allowance deletion,5016380,European Commission,80,Details
EU506961,10-2,2019-04-05 12:53:21.209,Completed,Hungary,100,Operator Account:HU48,5011687,Dunacell Dunaújvárosi Cellulózgyár Kft.,European Commission,100,EU Allowance deletion,5016380,European Commission,7273,Details
EU507436,10-0,2019-04-05 12:52:51.553,Completed,Poland,100,mBank S.A.,5023148,mBank S.A.,Poland,100,KOTŁOWNIA REJONOWA KR-1,5003323,MIEJSKIE  PRZEDSIĘBIORSTWO  ENERGETYKI  CIEPLNEJ,2000,Details
EU506241,10-0,2019-04-05 12:52:17.042,Completed,Spain,100,COMPAÑÍA ESPAÑOLA DE PETRÓLEOS(CEPSA),5008888,"Compañía Española de Petróleos, S.A.",Spain,100,"Planta Cogeneración Cepsa Química,S.A-Guadarranque",5009379,"Generación Eléctrica Peninsular, S.A.",2123,Details
EU505370,10-0,2019-04-05 12:52:03.504,Completed,Spain,100,CUENTA NEGOCIACION MERCADOS CO2,5017384,"Naturgy Ciclos Combinados, S.L.U.",Spain,100,"Naturgy Generación, S.L.U. - Instalación CT Meirama",5009040,"Naturgy Ciclos Combinados, S.L.U.",2241920,Details
EU506301,10-0,2019-04-05 12:51:05.3,Completed,United Kingdom,100,Redshaw Advisors,5023004,Louis Redshaw,Belgium,100,098 Floren en Cie,5004497,Floren en Cie,480,Details
EU507415,10-2,2019-04-05 12:50:56.679,Completed,Poland,100,Instalacja do produkcji szkła opakowaniowego,5003800,STOLZLE Wymiarki Sp. z o.o.,European Commission,100,EU Allowance deletion,5016380,European Commission,18539,Details
EU505374,10-0,2019-04-05 12:50:52.685,Completed,Spain,100,CUENTA NEGOCIACION MERCADOS CO2,5017384,"Naturgy Ciclos Combinados, S.L.U.",Spain,100,"Naturgy Ciclos Combinados, S.L.U. - CCC Campo de Gibraltar GR10",5026118,"Naturgy Ciclos Combinados, S.L.U.",1505,Details
