Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU478169,10-0,2018-12-19 13:20:19.478,Completed,United Kingdom,100,SEB FUTURES,5017323,S E B,Sweden,100,Skandinaviska Enskilda Banken AB (publ.),5024639,Skandinaviska Enskilda Banken AB (publ.),13439000,Details
EU478162,10-0,2018-12-19 13:19:31.044,Completed,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,Spain,100,"Repsol Trading, S.A.",5024180,"Repsol Trading, S.A",5691000,Details
EU477617,10-0,2018-12-19 13:19:09.991,Completed,Germany,100,187 - Anlagenkonto,5014371,Köhler Kalk GmbH,Germany,100,156 - Anlagenkonto,5014182,Schaefer Kalk GmbH & Co. KG,1100,Details
EU478123,10-0,2018-12-19 13:18:58.369,Completed,United Kingdom,100,Macquarie Bank International Limited,5023596,Macquarie Bank International Limited,Portugal,100,7108-EDP - Energias de portugal S.A.,5003348,EDP - Energias de portugal S.A.,650000,Details
EU478159,10-0,2018-12-19 13:18:28.739,Completed,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,Denmark,100,Neas Energy A/S,5020307,Centrica Energy Trading A/S,459000,Details
EU477564,10-0,2018-12-19 13:18:25.878,Completed,Germany,100,977 - Anlagenkonto - Heizkraftwerk Mittelfeld,5014100,Städtische Werke Energie + Wärme GmbH,Germany,100,724 - Anlagenkonto - Fernwärmekraftwerk Kassel (FKK),5014652,Städtische Werke Energie + Wärme GmbH,5670,Details
EU478152,10-0,2018-12-19 13:17:35.072,Completed,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,Germany,100,ENGIE GLOBAL MARKETS,5016881,ENGIE Global Markets,34759000,Details
EU478148,10-0,2018-12-19 13:16:03.688,Completed,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,Germany,100,EnBW Trading Account,5022149,EnBW Energie Baden-Württemberg AG,71000,Details
EU477563,10-0,2018-12-19 13:15:19.636,Completed,Germany,100,977 - Anlagenkonto - Heizkraftwerk Mittelfeld,5014100,Städtische Werke Energie + Wärme GmbH,Germany,100,1032 - Anlagenkonto - Kombi-Heizkraftwerk Kassel (Kombi-HKW),5014215,Städtische Werke Energie + Wärme GmbH,22200,Details
EU478140,10-0,2018-12-19 13:14:19.474,Completed,United Kingdom,100,BNP PARIBAS COMMODITY FUTURES LTD,5017675,BNP Paribas Commodity Futures Limited,Germany,100,Vattenfall Energy Trading GmbH,5017244,Vattenfall Energy Trading GmbH,15733000,Details
EU478133,10-0,2018-12-19 13:13:11.328,Completed,United Kingdom,100,BNP PARIBAS COMMODITY FUTURES LTD,5017675,BNP Paribas Commodity Futures Limited,Germany,100,Uniper Global Commodities SE,5016943,Uniper Global Commodities SE,7934000,Details
EU478161,10-0,2018-12-19 13:13:04.965,Completed,Germany,100,Pfalzwerke,5018417,PFALZWERKE AKTIENGESELLSCHAFT,Germany,100,441 - Anlagenkonto,5014369,Deppe Backstein-Keramik GmbH,2500,Details
EU477561,10-0,2018-12-19 13:12:35.838,Completed,Germany,100,978 - Anlagenkonto - Heizwerk Brückenhof,5014102,Städtische Werke Energie + Wärme GmbH,Germany,100,724 - Anlagenkonto - Fernwärmekraftwerk Kassel (FKK),5014652,Städtische Werke Energie + Wärme GmbH,343,Details
EU478136,10-0,2018-12-19 13:12:08.008,Completed,United Kingdom,100,Belektron TRD,5016818,Belektron d.o.o.,Germany,100,Emissionshändler.com GEMB mbH,5019435,GEMB Gesellschaft für Emissionsmanagement und Beratung mbH,3000,Details
EU478066,10-0,2018-12-19 13:11:34.188,Completed,Poland,100,TAURON Polska Energia S.A.,5019474,TAURON Polska Energia S.A.,Poland,100,TAURON Polska Energia S.A.,5024259,TAURON Polska Energia S.A.,630000,Details
EU478135,10-0,2018-12-19 13:11:17.601,Completed,United Kingdom,100,Newedge UK Financial Ltd,5016868,Societe Generale International Limited,France,100,EDF TRADING LIMITED,5027028,EDF TRADING LTD,632000,Details
EU478150,10-0,2018-12-19 13:10:55.175,Completed,Germany,100,ENGIE GLOBAL MARKETS,5016881,ENGIE Global Markets,Germany,100,ENGIE Energielösungen GmbH,5019556,ENGIE Energielösungen GmbH,139000,Details
EU478129,10-0,2018-12-19 13:10:43.769,Completed,United Kingdom,100,BNP PARIBAS COMMODITY FUTURES LTD,5017675,BNP Paribas Commodity Futures Limited,France,100,UEM Chambière,5004718,UEM,260000,Details
EU478070,10-0,2018-12-19 13:10:21.291,Completed,Poland,100,TAURON Polska Energia S.A.,5019474,TAURON Polska Energia S.A.,Poland,100,TAURON Polska Energia S.A.,5024259,TAURON Polska Energia S.A.,12839000,Details
EU478155,10-0,2018-12-19 13:10:04.956,Completed,Germany,100,Pfalzwerke,5018417,PFALZWERKE AKTIENGESELLSCHAFT,Germany,100,725 - Anlagenkonto,5014662,August Storck KG,10000,Details
