Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU508056,10-2,2019-04-08 13:34:26.876,Completed,Germany,100,Fancourt Flugcharter GmbH,5017024,Fancourt Flugcharter GmbH & Co. KG,European Commission,100,EU Allowance deletion,5016380,European Commission,230,Details
EU508099,10-2,2019-04-08 13:34:01.591,Completed,Germany,100,BHKW Lange Enden,5015671,Vattenfall Wärme Berlin Aktiengesellschaft,European Commission,100,EU Allowance deletion,5016380,European Commission,27940,Details
EU507819,10-2,2019-04-08 13:33:40.167,Completed,Germany,100,HW Koppstrasse,5015167,SWM Services GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,9713,Details
EU508309,10-0,2019-04-08 13:33:09.342,Completed,Italy,100,Edison PI,5022219,EDISON SPA,Italy,100,SIMERI CRICHI,5013379,EDISON SPA,1417549,Details
EU507059,10-0,2019-04-08 13:32:30.103,Completed,Netherlands,100,STX Services BV,5017430,STX Commodities B.V.,Netherlands,100,Vopak Terminal Vlissingen B.V.,5021925,Vopak Terminal Vlissingen B.V.,1105,Details
EU507967,10-2,2019-04-08 13:32:21.038,Completed,France,100,YYA Aviation Ltd.,5019442,YYA Aviation Ltd.,European Commission,100,EU Allowance deletion,5016380,European Commission,297,Details
EU507335,10-0,2019-04-08 13:32:09.721,Completed,United Kingdom,100,Isover UK CO2 account,5007981,Saint-Gobain Isover UK Limited,Czech Republic,100,SAINT-GOBAIN ADFORS CZ - Litomyšl,5006737,SAINT-GOBAIN ADFORS CZ s.r.o.,25804,Details
EU507821,10-2,2019-04-08 13:32:08.098,Completed,Germany,100,HW Perlach,5015179,SWM Services GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,9770,Details
EU508049,10-2,2019-04-08 13:31:34.478,Completed,France,100,NATASHA ESTABLISMENT,5019302,NATASHA ESTABLISMENT,European Commission,100,EU Allowance deletion,5016380,European Commission,122,Details
EU508079,10-2,2019-04-08 13:31:30.215,Completed,Germany,100,565 - Anlagenkonto,5015717,Glatfelter Gernsbach GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,69176,Details
EU508265,10-0,2019-04-08 13:30:54.176,Completed,Italy,100,Edison PI,5022219,EDISON SPA,Italy,100,TERNI,5013371,EDISON SPA,32674,Details
EU508316,10-0,2019-04-08 13:30:52.035,Completed,Sweden,100,Bixia AB,5017197,Bixia AB,Sweden,100,Modity Energy Trading AB,5017168,Modity Energy Trading AB,5000,Details
EU507824,10-2,2019-04-08 13:30:51.662,Completed,Germany,100,HW Theresienstrasse,5015192,SWM Services GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,10668,Details
EU508053,10-2,2019-04-08 13:30:19.574,Completed,France,100,Malridge Investments Ltd,5024796,Malridge Investments Ltd,European Commission,100,EU Allowance deletion,5016380,European Commission,170,Details
EU508237,10-2,2019-04-08 13:29:47.419,Completed,Austria,100,Jungbunzlauer Wulzeshofen,5004181,Jungbunzlauer Austria AG,European Commission,100,EU Allowance deletion,5016380,European Commission,226241,Details
EU508207,10-2,2019-04-08 13:29:22.005,Completed,Spain,100,"Verescence La Granja, S.L.",5009207,"Verescence La Granja, S.L.",European Commission,100,EU Allowance deletion,5016380,European Commission,34652,Details
EU507331,10-0,2019-04-08 13:29:20.306,Completed,United Kingdom,100,Isover UK CO2 account,5007981,Saint-Gobain Isover UK Limited,Germany,100,Werk Bergisch Gladbach,5015051,SAINT-GOBAIN ISOVER G+H Aktiengesellschaft,16697,Details
EU507828,10-2,2019-04-08 13:29:20.245,Completed,Germany,100,HW Gaisbergstrasse,5015264,SWM Services GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,4895,Details
EU508279,10-2,2019-04-08 13:29:18.561,Completed,Spain,100,Ladrillos Suspiro del Moro S.L.,5009240,Ladrillos Suspiro del Moro S.L.,European Commission,100,EU Allowance deletion,5016380,European Commission,11910,Details
EU508285,10-0,2019-04-08 13:28:47.881,Completed,Italy,100,Edison PI,5022219,EDISON SPA,Italy,100,ALTOMONTE,5013373,EDISON SPA,1399977,Details
