Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU505202,10-2,2019-04-03 16:14:28.395,Completed,Germany,100,Phthalsäureanhydrid-Fabrik,5017969,BASF SE,European Commission,100,EU Allowance deletion,5016380,European Commission,45775,Details
EU505129,10-2,2019-04-03 16:14:23.113,Completed,Italy,100,AMPS (Via Lazio),5012709,Iren Energia S.p.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,2364,Details
EU505719,4-0,2019-04-03 16:13:47.114,Completed,Germany,100,Vattenfall Energy Trading GmbH Account 2,5026064,Vattenfall Energy Trading GmbH,European Commission,230,EU Cancellation Account Period 2,5022673,EUROPEAN UNION,8472,Details
EU505710,10-71,2019-04-03 16:13:22.72,Completed,Spain,100,"Azulev, S.A.U. - Planta de Onda",5020413,"Azulev, SAU",European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,691,Details
EU505133,10-2,2019-04-03 16:13:01.577,Completed,Italy,100,Moncalieri,5012710,Iren Energia S.p.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,1370271,Details
EU505728,10-72,2019-04-03 16:12:05.175,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Italy,100,Conto Torrette Ancona,5016684,SIRAM SPA,397,Details
EU505138,10-2,2019-04-03 16:11:26.085,Completed,Italy,100,BIT,5012715,Iren Energia S.p.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,2618,Details
EU505564,10-71,2019-04-03 16:11:16.592,Completed,Italy,100,Conto Torrette Ancona,5016684,SIRAM SPA,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,397,Details
EU505144,10-2,2019-04-03 16:10:21.25,Completed,Italy,100,Sampierdarena,5012717,Iren Energia S.p.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,18465,Details
EU503031,10-0,2019-04-03 16:09:24.024,Completed,Germany,100,HKW Reuter West,5014465,Vattenfall Wärme Berlin Aktiengesellschaft,Germany,100,HKW Klingenberg,5014453,Vattenfall Wärme Berlin Aktiengesellschaft,437946,Details
EU505149,10-2,2019-04-03 16:08:59.437,Completed,Italy,100,sede parma (strada s. margherita),5012718,Iren Energia S.p.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,416,Details
EU505153,10-2,2019-04-03 16:07:26.401,Completed,Italy,100,Politecnico,5012719,Iren Energia S.p.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,3189,Details
EU503033,10-0,2019-04-03 16:07:25.973,Completed,Germany,100,HKW Reuter West,5014465,Vattenfall Wärme Berlin Aktiengesellschaft,Germany,100,HKW Moabit,5014461,Vattenfall Wärme Berlin Aktiengesellschaft,371751,Details
EU505723,10-72,2019-04-03 16:06:46.165,Completed,European Commission,100,EU Credit Exchange Account,5022593,EUROPEAN COMMISSION,Italy,100,Ospedale di Cittadella,5024381,SIRAM SPA,209,Details
EU505568,10-71,2019-04-03 16:05:39.608,Completed,Italy,100,Ospedale di Cittadella,5024381,SIRAM SPA,European Commission,100,EU International Credit Account,5022590,EUROPEAN COMMISSION,209,Details
EU503036,10-0,2019-04-03 16:05:35.012,Completed,Germany,100,HKW Reuter West,5014465,Vattenfall Wärme Berlin Aktiengesellschaft,Germany,100,HKW Marzahn,5014462,Vattenfall Wärme Berlin Aktiengesellschaft,114830,Details
EU505157,10-2,2019-04-03 16:05:09.008,Completed,Italy,100,centrale Pappagnocca,5012720,Iren Energia S.p.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,4357,Details
EU505112,10-2,2019-04-03 16:05:03.934,Completed,Germany,100,478 - Anlagenkonto,5014848,Refratechnik Cement GmbH,European Commission,100,EU Allowance deletion,5016380,European Commission,12065,Details
EU503039,10-0,2019-04-03 16:03:55.575,Completed,Germany,100,HKW Reuter West,5014465,Vattenfall Wärme Berlin Aktiengesellschaft,Germany,100,HKW Reuter,5014468,Vattenfall Wärme Berlin Aktiengesellschaft,189848,Details
EU505161,10-2,2019-04-03 16:03:38.866,Completed,Italy,100,Centrale di pompaggio e backup PC,5012721,Iren Energia S.p.A.,European Commission,100,EU Allowance deletion,5016380,European Commission,6398,Details
